Date,TTM Net Income,Shareholder's Equity,ROE,,Net_Inc,SH_equity
9/30/22,$99.80B,$50.67B,1.61,,99.8,50.67
6/30/22,$99.63B,$58.11B,1.53,,99.63,58.11
3/31/22,$101.94B,$67.40B,1.53,,101.94,67.4
12/31/21,$100.56B,$71.93B,1.50,,100.56,71.93
9/30/21,$94.68B,$63.09B,1.44,,94.68,63.09
6/30/21,$86.80B,$64.28B,1.31,,86.8,64.28
3/31/21,$76.31B,$69.18B,1.12,,76.31,69.18
12/31/20,$63.93B,$66.22B,0.91,,63.93,66.22
9/30/20,$57.41B,$65.34B,0.75,,57.41,65.34
6/30/20,$58.42B,$72.28B,0.71,,58.42,72.28
3/31/20,$57.22B,$78.43B,0.64,,57.22,78.43
12/31/19,$57.53B,$89.53B,0.60,,57.53,89.53
9/30/19,$55.26B,$90.49B,0.54,,55.26,90.49
6/30/19,$55.70B,$96.46B,0.52,,55.7,96.46
3/31/19,$57.17B,$105.86B,0.51,,57.17,105.86
12/31/18,$59.43B,$117.89B,0.51,,59.43,117.89
9/30/18,$59.53B,$107.15B,0.49,,59.53,107.15
6/30/18,$56.12B,$114.95B,0.44,,56.12,114.95
3/31/18,$53.32B,$126.88B,0.40,,53.32,126.88
12/31/17,$50.53B,$140.20B,0.37,,50.53,140.2
9/30/17,$48.35B,$134.05B,0.36,,48.35,134.05
6/30/17,$46.65B,$132.43B,0.35,,46.65,132.43
3/31/17,$45.73B,$134.08B,0.35,,45.73,134.08
12/31/16,$45.22B,$132.39B,0.35,,45.22,132.39
9/30/16,$45.69B,$128.25B,0.36,,45.69,128.25
6/30/16,$47.80B,$126.54B,0.38,,47.8,126.54
3/31/16,$50.68B,$130.46B,0.40,,50.68,130.46
12/31/15,$53.73B,$128.27B,0.43,,53.73,128.27
9/30/15,$53.39B,$119.36B,0.43,,53.39,119.36
6/30/15,$50.74B,$125.68B,0.41,,50.74,125.68
3/31/15,$47.81B,$129.01B,0.39,,47.81,129.01
12/31/14,$44.46B,$123.33B,0.37,,44.46,123.33
9/30/14,$39.51B,$111.55B,0.33,,39.51,111.55
6/30/14,$38.56B,$120.94B,0.31,,38.56,120.94
3/31/14,$37.71B,$120.18B,0.30,,37.71,120.18
12/31/13,$37.03B,$129.68B,0.29,,37.03,129.68
9/30/13,$37.04B,$123.55B,0.29,,37.04,123.55
6/30/13,$37.75B,$123.35B,0.30,,37.75,123.35
3/31/13,$39.67B,$135.49B,0.32,,39.67,135.49
12/31/12,$41.75B,$127.35B,0.36,,41.75,127.35
9/30/12,$41.73B,$118.21B,0.40,,41.73,118.21
6/30/12,$40.13B,$111.75B,0.42,,40.13,111.75
3/31/12,$38.62B,$102.50B,0.46,,38.62,102.5
12/31/11,$32.98B,$90.05B,0.44,,32.98,90.05
9/30/11,$25.92B,$76.62B,0.40,,25.92,76.62
6/30/11,$23.61B,$69.34B,0.40,,23.61,69.34
3/31/11,$19.55B,$61.48B,0.38,,19.55,61.48
12/31/10,$16.64B,$54.67B,0.36,,16.64,54.67
9/30/10,$14.01B,$47.79B,0.34,,14.01,47.79
6/30/10,$12.24B,$43.11B,0.33,,12.24,43.11
3/31/10,$10.81B,$39.35B,0.33,,10.81,39.35
12/31/09,$9.36B,$35.77B,0.32,,9.36,35.77